epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0003,0,,,,,,
0,,49,,,0.21875,2.0718207359313965,,
0,,99,,,0.28125,1.6795786619186401,,
0,,149,,,0.53125,1.5064594745635986,,
0,,199,,,0.453125,1.2973541021347046,,
0,,249,,,0.515625,1.2627196311950684,,
0,,299,,,0.6875,0.8951873183250427,,
0,,349,,,0.578125,1.1146750450134277,,
0,,399,,,0.671875,0.9518629908561707,,
0,,449,,,0.734375,0.7033101320266724,,
0,,499,,,0.6875,0.8048874139785767,,
0,,549,,,0.71875,0.7032910585403442,,
0,,599,,,0.796875,0.587907612323761,,
0,,649,,,0.78125,0.6544288992881775,,
0,,699,,,0.796875,0.7578840255737305,,
0,,749,,,0.6875,0.8175787925720215,,
0,,799,,,0.734375,0.647625207901001,,
0,,849,,,0.75,0.61900794506073,,
0,,858,,,,,0.8059999942779541,0.567122757434845
,0.0003,859,,,,,,
1,,899,,,0.84375,0.39848318696022034,,
1,,949,,,0.828125,0.48721548914909363,,
1,,999,,,0.8125,0.6253191232681274,,
1,,1049,,,0.828125,0.48000937700271606,,
1,,1099,,,0.859375,0.4735828638076782,,
1,,1149,,,0.921875,0.27605441212654114,,
1,,1199,,,0.921875,0.2809896767139435,,
1,,1249,,,0.921875,0.28838565945625305,,
1,,1299,,,0.90625,0.2414940893650055,,
1,,1349,,,0.90625,0.304404079914093,,
1,,1399,,,0.875,0.3409111201763153,,
1,,1449,,,0.859375,0.46534186601638794,,
1,,1499,,,0.90625,0.3319707214832306,,
1,,1549,,,0.890625,0.40623098611831665,,
1,,1599,,,0.875,0.36113864183425903,,
1,,1649,,,0.875,0.43856456875801086,,
1,,1699,,,0.875,0.35555893182754517,,
1,,1717,,,,,0.8745999932289124,0.34927213191986084
,0.0003,1718,,,,,,
2,,1749,,,0.84375,0.5847157835960388,,
2,,1799,,,0.921875,0.2388973981142044,,
2,,1849,,,0.890625,0.35744863748550415,,
2,,1899,,,0.921875,0.2201835811138153,,
2,,1949,,,0.90625,0.2470175176858902,,
2,,1999,,,0.90625,0.2010006308555603,,
2,,2049,,,0.890625,0.22096621990203857,,
2,,2099,,,0.921875,0.2552768588066101,,
2,,2149,,,0.875,0.311977356672287,,
2,,2199,,,0.828125,0.5003319978713989,,
2,,2249,,,0.859375,0.46033087372779846,,
2,,2299,,,0.921875,0.19600525498390198,,
2,,2349,,,0.9375,0.2726309895515442,,
2,,2399,,,0.84375,0.41146740317344666,,
2,,2449,,,0.9375,0.3362029492855072,,
2,,2499,,,0.921875,0.3263091742992401,,
2,,2549,,,0.921875,0.24870555102825165,,
2,,2576,,,,,0.9071999788284302,0.28670787811279297
,0.0003,2577,,,,,,
3,,2599,,,0.90625,0.30988794565200806,,
3,,2649,,,0.90625,0.2751976251602173,,
3,,2699,,,0.890625,0.3183795213699341,,
3,,2749,,,0.96875,0.18534377217292786,,
3,,2799,,,0.9375,0.16663406789302826,,
3,,2849,,,0.875,0.33095782995224,,
3,,2899,,,0.96875,0.10999791324138641,,
3,,2949,,,0.96875,0.10767809301614761,,
3,,2999,,,0.875,0.3818831443786621,,
3,,3049,,,0.890625,0.25571689009666443,,
3,,3099,,,0.890625,0.28841686248779297,,
3,,3149,,,0.953125,0.17796413600444794,,
3,,3199,,,0.984375,0.04479674994945526,,
3,,3249,,,0.796875,0.6149343848228455,,
3,,3299,,,0.90625,0.2653331160545349,,
3,,3349,,,0.953125,0.17352943122386932,,
3,,3399,,,0.921875,0.2324361503124237,,
3,,3435,,,,,0.923799991607666,0.22760705649852753
,0.0003,3436,,,,,,
4,,3449,,,0.984375,0.09928865730762482,,
4,,3499,,,0.9375,0.18719860911369324,,
4,,3549,,,0.890625,0.33980491757392883,,
4,,3599,,,0.96875,0.17317411303520203,,
4,,3649,,,0.859375,0.36549073457717896,,
4,,3690,0.923799991607666,0.22760705649852753,,,,
4,,3690,0.9359999895095825,0.2039165049791336,,,,
